gain_to_exit,loose_to_exit,returns
0.01,0.01,-22.643
0.01,0.06,-31.6947
0.01,0.11,-42.4151
0.01,0.16,-50.1703
0.01,0.21,-55.3199
0.01,0.26,-51.1785
0.01,0.31,-63.7436
0.01,0.36,-45.0858
0.01,0.41,-48.9646
0.01,0.46,-64.3567
0.01,0.51,-65.4127
0.01,0.56,-70.4032
0.01,0.61,-77.378
0.01,0.66,-54.8899
0.01,0.71,-62.7974
0.01,0.76,-68.4705
0.01,0.81,-55.5366
0.01,0.86,-55.5366
0.01,0.91,-55.5366
0.01,0.96,-55.5366
0.01,1.01,-55.5366
0.06,0.01,-35.6691
0.06,0.06,-50.1886
0.06,0.11,-64.2081
0.06,0.16,-67.0177
0.06,0.21,-76.9159
0.06,0.26,-71.3597
0.06,0.31,-75.9989
0.06,0.36,-65.7738
0.06,0.41,-72.1332
0.06,0.46,-75.6071
0.06,0.51,-67.6932
0.06,0.56,-63.746
0.06,0.61,-70.4006
0.06,0.66,-70.8199
0.06,0.71,-80.0092
0.06,0.76,-27.7359
0.06,0.81,-25.4369
0.06,0.86,-25.4369
0.06,0.91,-25.4369
0.06,0.96,-25.4369
0.06,1.01,-25.4369
0.11,0.01,-20.5889
0.11,0.06,-61.7719
0.11,0.11,-64.4752
0.11,0.16,-60.0501
0.11,0.21,-70.1506
0.11,0.26,-49.2115
0.11,0.31,-73.2704
0.11,0.36,-64.5233
0.11,0.41,-67.9259
0.11,0.46,-69.5307
0.11,0.51,-63.448
0.11,0.56,-62.2698
0.11,0.61,-66.2063
0.11,0.66,-70.0693
0.11,0.71,-78.5087
0.11,0.76,-25.4037
0.11,0.81,-22.8935
0.11,0.86,-22.8935
0.11,0.91,-22.8935
0.11,0.96,-22.8935
0.11,1.01,-22.8935
0.16,0.01,-1.3969
0.16,0.06,-56.0408
0.16,0.11,-63.458
0.16,0.16,-57.9418
0.16,0.21,-72.8492
0.16,0.26,-58.5306
0.16,0.31,-78.1099
0.16,0.36,-72.0485
0.16,0.41,-63.4014
0.16,0.46,-67.1212
0.16,0.51,-56.0316
0.16,0.56,-54.3215
0.16,0.61,-59.3776
0.16,0.66,-64.4185
0.16,0.71,-76.6851
0.16,0.76,-43.2804
0.16,0.81,-29.1268
0.16,0.86,-29.1268
0.16,0.91,-29.1268
0.16,0.96,-29.1268
0.16,1.01,-29.1268
0.21,0.01,-4.3938
0.21,0.06,-51.7637
0.21,0.11,-53.9367
0.21,0.16,-78.1665
0.21,0.21,-80.978
0.21,0.26,-62.4667
0.21,0.31,-76.2701
0.21,0.36,-74.7016
0.21,0.41,-60.3254
0.21,0.46,-71.5531
0.21,0.51,-54.4363
0.21,0.56,-52.6642
0.21,0.61,-57.9037
0.21,0.66,-63.1276
0.21,0.71,-77.6232
0.21,0.76,-39.3714
0.21,0.81,-24.2424
0.21,0.86,-24.2424
0.21,0.91,-24.2424
0.21,0.96,-24.2424
0.21,1.01,-24.2424
0.26,0.01,-19.3925
0.26,0.06,-51.0385
0.26,0.11,-57.5283
0.26,0.16,-80.8733
0.26,0.21,-83.8855
0.26,0.26,-65.3731
0.26,0.31,-78.1076
0.26,0.36,-76.6606
0.26,0.41,-63.3976
0.26,0.46,-75.2302
0.26,0.51,-60.3259
0.26,0.56,-58.7829
0.26,0.61,-63.3451
0.26,0.66,-67.8937
0.26,0.71,-76.9585
0.26,0.76,-48.0385
0.26,0.81,-35.0722
0.26,0.86,-35.0722
0.26,0.91,-35.0722
0.26,0.96,-35.0722
0.26,1.01,-35.0722
0.31,0.01,-10.1231
0.31,0.06,-45.6439
0.31,0.11,-55.084
0.31,0.16,-81.4326
0.31,0.21,-62.319
0.31,0.26,-39.3708
0.31,0.31,-58.4856
0.31,0.36,-59.3877
0.31,0.41,-56.5021
0.31,0.46,-58.3599
0.31,0.51,-33.3045
0.31,0.56,-52.6785
