gain_to_exit,loose_to_exit,returns
0.01,0.01,-14.9374
0.01,0.06,-31.8392
0.01,0.11,-52.0338
0.01,0.16,-46.0747
0.01,0.21,-68.9182
0.01,0.26,-67.4124
0.01,0.31,-66.829
0.01,0.36,-72.2126
0.01,0.41,-66.6353
0.01,0.46,-50.2402
0.01,0.51,-54.7401
0.01,0.56,-66.8006
0.01,0.61,-70.3849
0.01,0.66,-41.2779
0.01,0.71,-63.5454
0.01,0.76,-63.5454
0.01,0.81,-62.9661
0.01,0.86,52.9913
0.01,0.91,52.9913
0.01,0.96,52.9913
0.01,1.01,52.9913
0.06,0.01,-42.2802
0.06,0.06,-66.5613
0.06,0.11,-60.3905
0.06,0.16,-44.9522
0.06,0.21,-57.1195
0.06,0.26,-68.8151
0.06,0.31,-52.753
0.06,0.36,-43.8899
0.06,0.41,-33.2726
0.06,0.46,-39.1667
0.06,0.51,-43.5571
0.06,0.56,-49.1183
0.06,0.61,-57.9236
0.06,0.66,-75.0728
0.06,0.71,-55.1838
0.06,0.76,-72.6876
0.06,0.81,-72.6876
0.06,0.86,-75.6529
0.06,0.91,-75.6529
0.06,0.96,-75.6529
0.06,1.01,-75.6529
0.11,0.01,-41.6343
0.11,0.06,-88.9146
0.11,0.11,-82.4563
0.11,0.16,-77.0092
0.11,0.21,-83.5065
0.11,0.26,-89.8234
0.11,0.31,-88.3388
0.11,0.36,-87.6418
0.11,0.41,-87.925
0.11,0.46,-91.8001
0.11,0.51,-90.7407
0.11,0.56,-92.3833
0.11,0.61,-94.9814
0.11,0.66,-91.4496
0.11,0.71,-87.8314
0.11,0.76,-93.039
0.11,0.81,-93.039
0.11,0.86,-75.6529
0.11,0.91,-75.6529
0.11,0.96,-75.6529
0.11,1.01,-75.6529
0.16,0.01,-30.4823
0.16,0.06,-85.9682
0.16,0.11,-75.0773
0.16,0.16,-64.3004
0.16,0.21,-74.3891
0.16,0.26,-84.8231
0.16,0.31,-82.6091
0.16,0.36,-78.0447
0.16,0.41,-80.0312
0.16,0.46,-86.4977
0.16,0.51,-84.7531
0.16,0.56,-87.4579
0.16,0.61,-91.7362
0.16,0.66,-86.6715
0.16,0.71,-85.8388
0.16,0.76,-92.5766
0.16,0.81,-92.5766
0.16,0.86,-75.6529
0.16,0.91,-75.6529
0.16,0.96,-75.6529
0.16,1.01,-75.6529
0.21,0.01,-19.5638
0.21,0.06,-81.2319
0.21,0.11,-59.6913
0.21,0.16,-31.6178
0.21,0.21,-47.8638
0.21,0.26,-74.0207
0.21,0.31,-68.2974
0.21,0.36,-53.7039
0.21,0.41,-67.7661
0.21,0.46,-79.5952
0.21,0.51,-76.9588
0.21,0.56,-81.0464
0.21,0.61,-87.5117
0.21,0.66,-70.1065
0.21,0.71,-78.0709
0.21,0.76,-91.9665
0.21,0.81,-91.9665
0.21,0.86,-75.6529
0.21,0.91,-75.6529
0.21,0.96,-75.6529
0.21,1.01,-75.6529
0.26,0.01,-32.863
0.26,0.06,-81.59100000000002
0.26,0.11,-69.051
0.26,0.16,-40.8921
0.26,0.21,-65.4192
0.26,0.26,-73.6921
0.26,0.31,-66.553
0.26,0.36,-68.90899999999999
0.26,0.41,-78.2116
0.26,0.46,-81.1518
0.26,0.51,-84.2965
0.26,0.56,-87.0824
0.26,0.61,-91.4887
0.26,0.66,-79.2661
0.26,0.71,-84.7901
0.26,0.76,-91.3974
0.26,0.81,-91.3974
0.26,0.86,-75.6529
0.26,0.91,-75.6529
0.26,0.96,-75.6529
0.26,1.01,-75.6529
0.31,0.01,-26.6195
0.31,0.06,-83.3766
0.31,0.11,-79.8775
0.31,0.16,-60.408
0.31,0.21,-74.7407
0.31,0.26,-86.634
0.31,0.31,-83.6727
0.31,0.36,-74.8406
0.31,0.41,-82.4426
0.31,0.46,-90.5065
0.31,0.51,-89.2631
0.31,0.56,-91.2414
0.31,0.61,-94.0505
0.31,0.66,-85.8185
0.31,0.71,-89.5968
0.31,0.76,-90.7582
0.31,0.81,-90.7582
0.31,0.86,-75.6529
0.31,0.91,-75.6529
0.31,0.96,-75.6529
0.31,1.01,-75.6529
0.36,0.01,-17.6376
0.36,0.06,-83.413
0.36,0.11,-81.286
0.36,0.16,-70.8565
0.36,0.21,-81.4067
0.36,0.26,-88.189
0.36,0.31,-85.8928
0.36,0.36,-77.5092
0.36,0.41,-84.3049
0.36,0.46,-89.3855
0.36,0.51,-87.9952
0.36,0.56,-90.2072
0.36,0.61,-93.3479
0.36,0.66,-85.2195
0.36,0.71,-89.1574
0.36,0.76,-90.7582
0.36,0.81,-90.7582
0.36,0.86,-75.6529
0.36,0.91,-75.6529
0.36,0.96,-75.6529
0.36,1.01,-75.6529
0.41,0.01,-39.657
0.41,0.06,-89.9683
0.41,0.11,-83.7991
0.41,0.16,-72.4223
0.41,0.21,-81.6001
0.41,0.26,-86.1546
0.41,0.31,-84.772
0.41,0.36,-66.5639
0.41,0.41,-74.4955
0.41,0.46,-81.5665
0.41,0.51,-84.618
0.41,0.56,-87.4522
0.41,0.61,-80.1312
0.41,0.66,-84.7693
0.41,0.71,-88.8271
0.41,0.76,-90.7582
0.41,0.81,-90.7582
0.41,0.86,-75.6529
0.41,0.91,-75.6529
0.41,0.96,-75.6529
0.41,1.01,-75.6529
0.46,0.01,-39.1588
0.46,0.06,-89.6744
0.46,0.11,-82.1867
0.46,0.16,-68.4804
0.46,0.21,-78.97
0.46,0.26,-84.6722
0.46,0.31,-83.1416
0.46,0.36,-61.5222
0.46,0.41,-70.6498
0.46,0.46,-79.5929
0.46,0.51,-82.971
0.46,0.56,-86.1087
0.46,0.61,-78.3999
0.46,0.66,-84.5426
0.46,0.71,-88.6608
0.46,0.76,-90.7582
0.46,0.81,-90.7582
0.46,0.86,-75.6529
0.46,0.91,-75.6529
0.46,0.96,-75.6529
0.46,1.01,-75.6529
0.51,0.01,-33.7522
0.51,0.06,-88.4984
0.51,0.11,-81.4252
0.51,0.16,-66.2044
0.51,0.21,-77.4515
0.51,0.26,-84.1276
0.51,0.31,-82.5426
0.51,0.36,-59.0296
0.51,0.41,-68.7485
0.51,0.46,-78.8678
0.51,0.51,-82.366
0.51,0.56,-85.6151
0.51,0.61,-77.6324
0.51,0.66,-83.8925
0.51,0.71,-88.1839
0.51,0.76,-90.7582
0.51,0.81,-90.7582
0.51,0.86,-75.6529
0.51,0.91,-75.6529
0.51,0.96,-75.6529
0.51,1.01,-75.6529
0.56,0.01,-33.7522
0.56,0.06,-87.9852
0.56,0.11,-79.4554
0.56,0.16,-75.755
0.56,0.21,-83.5314
0.56,0.26,-83.4979
0.56,0.31,-81.85
0.56,0.36,-72.2418
0.56,0.41,-77.935
0.56,0.46,-78.0294
0.56,0.51,-81.6664
0.56,0.56,-85.0444
0.56,0.61,-75.3777
0.56,0.66,-79.0908
0.56,0.71,-84.6615
0.56,0.76,-90.7582
0.56,0.81,-90.7582
0.56,0.86,-75.6529
0.56,0.91,-75.6529
0.56,0.96,-75.6529
0.56,1.01,-75.6529
0.61,0.01,-23.3897
0.61,0.06,-87.0548
0.61,0.11,-79.0938
0.61,0.16,-75.3282
0.61,0.21,-83.2416
0.61,0.26,-82.3268
0.61,0.31,-80.5619
0.61,0.36,-70.2719
0.61,0.41,-76.3691
0.61,0.46,-76.4702
0.61,0.51,-80.3653
0.61,0.56,-83.98299999999998
0.61,0.61,-74.5811
0.61,0.66,-79.0908
0.61,0.71,-84.6615
0.61,0.76,-90.7582
0.61,0.81,-90.7582
0.61,0.86,-75.6529
0.61,0.91,-75.6529
0.61,0.96,-75.6529
0.61,1.01,-75.6529
0.66,0.01,-21.9457
0.66,0.06,-83.9443
0.66,0.11,-85.3128
0.66,0.16,-84.8997
0.66,0.21,-89.743
0.66,0.26,-92.0553
0.66,0.31,-91.6129
0.66,0.36,-81.7401
0.66,0.41,-85.4852
0.66,0.46,-85.5473
0.66,0.51,-87.9398
0.66,0.56,-90.1619
0.66,0.61,-72.9498
0.66,0.66,-79.0908
0.66,0.71,-84.6615
0.66,0.76,-90.7582
0.66,0.81,-90.7582
0.66,0.86,-75.6529
0.66,0.91,-75.6529
0.66,0.96,-75.6529
0.66,1.01,-75.6529
0.71,0.01,-18.1618
0.71,0.06,-83.6439
0.71,0.11,-84.8632
0.71,0.16,-84.4375
0.71,0.21,-89.4291
0.71,0.26,-88.1394
0.71,0.31,-86.955
0.71,0.36,-80.0492
0.71,0.41,-84.1411
0.71,0.46,-84.209
0.71,0.51,-86.823
0.71,0.56,-89.2509
0.71,0.61,-71.6311
0.71,0.66,-79.0908
0.71,0.71,-84.6615
0.71,0.76,-90.1886
0.71,0.81,-90.1886
0.71,0.86,-75.6529
0.71,0.91,-75.6529
0.71,0.96,-75.6529
0.71,1.01,-75.6529
0.76,0.01,-14.8982
0.76,0.06,-82.4312
0.76,0.11,-82.8388
0.76,0.16,-82.3561
0.76,0.21,-88.0153
0.76,0.26,-88.1394
0.76,0.31,-86.955
0.76,0.36,-80.0492
0.76,0.41,-84.1411
0.76,0.46,-84.209
0.76,0.51,-86.823
0.76,0.56,-89.2509
0.76,0.61,-81.4594
0.76,0.66,-79.0908
0.76,0.71,-84.6615
0.76,0.76,-90.1886
0.76,0.81,-90.1886
0.76,0.86,-75.6529
0.76,0.91,-75.6529
0.76,0.96,-75.6529
0.76,1.01,-75.6529
0.81,0.01,-14.8982
0.81,0.06,-80.3066
0.81,0.11,-82.3161
0.81,0.16,-81.8187
0.81,0.21,-87.6503
0.81,0.26,-86.5492
0.81,0.31,-85.206
0.81,0.36,-77.3745
0.81,0.41,-82.015
0.81,0.46,-82.0919
0.81,0.51,-85.0564
0.81,0.56,-87.8098
0.81,0.61,-81.4594
0.81,0.66,-79.0908
0.81,0.71,-84.6615
0.81,0.76,-89.958
0.81,0.81,-89.958
0.81,0.86,-75.6529
0.81,0.91,-75.6529
0.81,0.96,-75.6529
0.81,1.01,-75.6529
0.86,0.01,-12.8964
0.86,0.06,-80.214
0.86,0.11,-82.2329
0.86,0.16,-81.7332
0.86,0.21,-87.5922
0.86,0.26,-86.5492
0.86,0.31,-85.206
0.86,0.36,-77.3745
0.86,0.41,-82.015
0.86,0.46,-82.0919
0.86,0.51,-85.0564
0.86,0.56,-87.8098
0.86,0.61,-80.6764
0.86,0.66,-79.0908
0.86,0.71,-84.6615
0.86,0.76,-89.4692
0.86,0.81,-89.4692
0.86,0.86,-75.6529
0.86,0.91,-75.6529
0.86,0.96,-75.6529
0.86,1.01,-75.6529
0.91,0.01,-8.544
0.91,0.06,-79.4919
0.91,0.11,-80.8956
0.91,0.16,-80.3583
0.91,0.21,-86.6583
0.91,0.26,-85.684
0.91,0.31,-84.2544
0.91,0.36,-75.919
0.91,0.41,-80.858
0.91,0.46,-80.9399
0.91,0.51,-84.0951
0.91,0.56,-87.0256
0.91,0.61,-79.9536
0.91,0.66,-79.0908
0.91,0.71,-84.6615
0.91,0.76,-88.77
0.91,0.81,-88.77
0.91,0.86,-75.6529
0.91,0.91,-75.6529
0.91,0.96,-75.6529
0.91,1.01,-75.6529
0.96,0.01,-6.7682
0.96,0.06,-78.8911
0.96,0.11,-81.9096
0.96,0.16,-82.7487
0.96,0.21,-86.9739
0.96,0.26,-85.4562
0.96,0.31,-84.0038
0.96,0.36,-75.5358
0.96,0.41,-80.5534
0.96,0.46,-80.6367
0.96,0.51,-83.84200000000001
0.96,0.56,-86.8192
0.96,0.61,-73.8313
0.96,0.66,-79.0908
0.96,0.71,-84.6615
0.96,0.76,-88.77
0.96,0.81,-88.77
0.96,0.86,-75.6529
0.96,0.91,-75.6529
0.96,0.96,-75.6529
0.96,1.01,-75.6529
1.01,0.01,-5.8641
1.01,0.06,-71.9529
1.01,0.11,-76.5167
1.01,0.16,-77.6061
1.01,0.21,-83.0908
1.01,0.26,-84.691
1.01,0.31,-83.1622
1.01,0.36,-74.2487
1.01,0.41,-79.5303
1.01,0.46,-79.6179
1.01,0.51,-82.9919
1.01,0.56,-86.1257
1.01,0.61,-73.8313
1.01,0.66,-77.8023
1.01,0.71,-83.7163
1.01,0.76,-88.77
1.01,0.81,-88.77
1.01,0.86,-75.6529
1.01,0.91,-75.6529
1.01,0.96,-75.6529
1.01,1.01,-75.6529
