gain_to_exit,loose_to_exit,returns
0.01,0.01,-2.6851
0.01,0.06,9.2661
0.01,0.11,-12.6368
0.01,0.16,-31.9335
0.01,0.21,-27.108
0.01,0.26,-20.5268
0.01,0.31,-32.6038
0.01,0.36,-46.8184
0.01,0.41,-65.6887
0.01,0.46,-68.6325
0.01,0.51,-70.7284
0.01,0.56,-73.6812
0.01,0.61,-79.9169
0.01,0.66,-76.9064
0.01,0.71,-45.9535
0.01,0.76,-53.7065
0.01,0.81,-52.4256
0.01,0.86,-52.4256
0.01,0.91,-52.4256
0.01,0.96,-52.4256
0.01,1.01,-52.4256
0.06,0.01,-17.6297
0.06,0.06,-60.0793
0.06,0.11,-34.6231
0.06,0.16,-45.9504
0.06,0.21,-40.827
0.06,0.26,-54.726
0.06,0.31,-67.2178
0.06,0.36,-59.6649
0.06,0.41,-82.5117
0.06,0.46,-74.3713
0.06,0.51,-87.2134
0.06,0.56,-89.5842
0.06,0.61,-90.9707
0.06,0.66,-91.7554
0.06,0.71,-81.8134
0.06,0.76,-12.0216
0.06,0.81,-29.4536
0.06,0.86,-29.4536
0.06,0.91,-29.4536
0.06,0.96,-29.4536
0.06,1.01,-29.4536
0.11,0.01,-25.5586
0.11,0.06,-77.4477
0.11,0.11,-62.9066
0.11,0.16,-75.6843
0.11,0.21,-78.697
0.11,0.26,-69.7231
0.11,0.31,-78.7806
0.11,0.36,-75.1819
0.11,0.41,-81.3914
0.11,0.46,-71.3414
0.11,0.51,-87.5453
0.11,0.56,-89.8547
0.11,0.61,-91.7042
0.11,0.66,-92.4251
0.11,0.71,-83.5525
0.11,0.76,-25.982
0.11,0.81,-43.5228
0.11,0.86,-43.5228
0.11,0.91,-43.5228
0.11,0.96,-43.5228
0.11,1.01,-43.5228
0.16,0.01,-24.3139
0.16,0.06,-77.4114
0.16,0.11,-63.8826
0.16,0.16,-66.2866
0.16,0.21,-71.0878
0.16,0.26,-59.5549
0.16,0.31,-72.868
0.16,0.36,-69.6693
0.16,0.41,-76.4225
0.16,0.46,-70.1639
0.16,0.51,-85.4858
0.16,0.56,-86.6704
0.16,0.61,-91.2221
0.16,0.66,-73.7251
0.16,0.71,-83.3626
0.16,0.76,-38.6933
0.16,0.81,-44.4579
0.16,0.86,-44.4579
0.16,0.91,-44.4579
0.16,0.96,-44.4579
0.16,1.01,-44.4579
0.21,0.01,-9.295
0.21,0.06,-73.6798
0.21,0.11,-42.6605
0.21,0.16,-76.4979
0.21,0.21,-80.3843
0.21,0.26,-59.3339
0.21,0.31,-67.3056
0.21,0.36,-69.5035
0.21,0.41,-71.5888
0.21,0.46,-71.2613
0.21,0.51,-83.2451
0.21,0.56,-84.6126
0.21,0.61,-90.2858
0.21,0.66,-69.6687
0.21,0.71,-81.588
0.21,0.76,-32.7396
0.21,0.81,-39.0641
0.21,0.86,-39.0641
0.21,0.91,-39.0641
0.21,0.96,-39.0641
0.21,1.01,-39.0641
0.26,0.01,1.8599
0.26,0.06,-68.2005
0.26,0.11,-32.9511
0.26,0.16,-72.5182
0.26,0.21,-77.0628
0.26,0.26,-51.5449
0.26,0.31,-61.0435
0.26,0.36,-63.6624
0.26,0.41,-66.1471
0.26,0.46,-66.8925
0.26,0.51,-80.698
0.26,0.56,-82.2734
0.26,0.61,-88.8091
0.26,0.66,-65.0578
0.26,0.71,-78.7891
0.26,0.76,-29.3386
0.26,0.81,-35.9828
0.26,0.86,-35.9828
0.26,0.91,-35.9828
0.26,0.96,-35.9828
0.26,1.01,-35.9828
0.31,0.01,-7.1261
0.31,0.06,-67.3641
0.31,0.11,-50.6907
0.31,0.16,-80.8052
0.31,0.21,-86.7472
0.31,0.26,-57.5665
0.31,0.31,-65.8846
0.31,0.36,-68.1782
0.31,0.41,-62.6507
0.31,0.46,-72.9715
0.31,0.51,-84.2421
0.31,0.56,-81.7679
0.31,0.61,-85.6833
0.31,0.66,-64.0613
0.31,0.71,-72.8646
0.31,0.76,-36.1985
0.31,0.81,-27.178
0.31,0.86,-27.178
0.31,0.91,-27.178
0.31,0.96,-27.178
0.31,1.01,-27.178
0.36,0.01,14.4034
0.36,0.06,-57.5078
0.36,0.11,-36.014
0.36,0.16,-75.092
0.36,0.21,-82.8026
0.36,0.26,-72.932
0.36,0.31,-79.795
0.36,0.36,-81.3634
0.36,0.41,-75.74
0.36,0.46,-77.357
0.36,0.51,-76.9096
0.36,0.56,-73.2839
0.36,0.61,-81.3131
0.36,0.66,-92.4569
0.36,0.71,-87.6328
0.36,0.76,-86.4146
0.36,0.81,-65.7975
0.36,0.86,-65.7975
0.36,0.91,-65.7975
0.36,0.96,-65.7975
0.36,1.01,-65.7975
0.41,0.01,-12.6654
0.41,0.06,-75.9627
0.41,0.11,-65.783
0.41,0.16,-86.3952
0.41,0.21,-89.7419
0.41,0.26,-69.6387
0.41,0.31,-77.3368
0.41,0.36,-79.096
0.41,0.41,-89.3631
0.41,0.46,-89.2186
0.41,0.51,-74.1003
0.41,0.56,-70.0335
0.41,0.61,-79.4247
0.41,0.66,-91.8467
0.41,0.71,-87.3868
0.41,0.76,-86.1444
0.41,0.81,-67.0885
0.41,0.86,-67.0885
0.41,0.91,-67.0885
0.41,0.96,-67.0885
0.41,1.01,-67.0885
0.46,0.01,-12.6654
0.46,0.06,-89.1915
0.46,0.11,-78.6718
0.46,0.16,-91.5198
0.46,0.21,-93.6059
0.46,0.26,-80.6359
0.46,0.31,-85.5456
0.46,0.36,-86.6676
0.46,0.41,-84.9126
0.46,0.46,-84.7076
0.46,0.51,-61.5067
0.46,0.56,-55.4625
0.46,0.61,-70.3283
0.46,0.66,-88.7788
0.46,0.71,-86.7369
0.46,0.76,-85.4305
0.46,0.81,-67.0885
0.46,0.86,-67.0885
0.46,0.91,-67.0885
0.46,0.96,-67.0885
0.46,1.01,-67.0885
0.51,0.01,-3.8661
0.51,0.06,-88.1025
0.51,0.11,-76.6811
0.51,0.16,-90.7283
0.51,0.21,-93.0091
0.51,0.26,-77.5851
0.51,0.31,-83.2684
0.51,0.36,-84.5671
0.51,0.41,-82.5356
0.51,0.46,-82.2983
0.51,0.51,-53.7742
0.51,0.56,-46.5158
0.51,0.61,-65.0093
0.51,0.66,-87.2448
0.51,0.71,-86.4251
0.51,0.76,-85.0879
0.51,0.81,-67.0885
0.51,0.86,-67.0885
0.51,0.91,-67.0885
0.51,0.96,-67.0885
0.51,1.01,-67.0885
0.56,0.01,0.1111
0.56,0.06,-87.6103
0.56,0.11,-75.5461
0.56,0.16,-90.2771
0.56,0.21,-92.6688
0.56,0.26,-76.3227
0.56,0.31,-82.326
0.56,0.36,-83.698
0.56,0.41,-81.552
0.56,0.46,-81.3014
0.56,0.51,-49.454
0.56,0.56,-41.5174
0.56,0.61,-61.7392
